,appliance_id_1,appliance_id_2,appliance_id_3,appliance_id_4,appliance_id_5,appliance_id_6,appliance_id_7,appliance_id_8,appliance_id_9
0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,1,0,0,1
2,0,0,0,0,0,0,0,1,1
3,0,0,0,1,0,1,0,0,0
4,0,0,0,0,0,0,1,1,0
5,0,1,1,0,0,0,1,0,0
6,1,0,0,0,0,0,0,1,0
7,0,1,1,0,0,0,0,0,0
8,1,0,0,0,0,0,1,0,0
9,0,1,1,0,0,0,0,1,0
10,0,0,0,0,0,0,1,1,1
11,1,0,0,0,0,0,1,1,0
12,1,0,0,0,0,1,0,1,0
13,0,0,0,1,0,1,0,1,0
14,0,0,0,0,0,1,1,1,0
15,1,1,1,0,0,0,0,1,0
16,0,0,0,0,0,1,1,1,1
17,1,0,0,1,0,1,0,0,0
18,1,0,0,0,0,1,1,0,0
19,1,0,0,0,0,1,1,1,0
20,1,0,0,1,0,1,0,1,0
21,1,0,0,1,1,0,0,0,0
22,1,1,0,0,0,0,0,1,0
23,0,0,0,0,0,1,0,1,0
